sources,translations
Один раз в жизни я делаю хорошее дело... И оно бесполезно.,"Once in my life, I do a good thing... and it's useless."
Давайте что-нибудь попробуем!,Let's try something!
Давайте что-нибудь попробуем.,Let's try something.
Мне пора идти спать.,I have to go to bed.
Мне нужно идти спать.,I have to go to bed.
Я должен ложиться спать.,I have to go to bed.
"Сегодня 18 июня, и это день рождения Мюриэл!","It's June 18th, and it's Muriel's birthday!"
Мюриэл сейчас 20.,Muriel is 20 now.
Пароль «Muiriel».,"""Muiriel"" password."
Я скоро вернусь.,I'll be right back.
